Temperature,SatVapPressure,VapPressure,Material
3.4575222221968422,785.744410930656,980.6436631904327,Concrete
3.4479692100662147,785.2143711953743,978.311854282154,Concrete
3.438416197935587,784.6846477228784,975.9800453738752,Concrete
3.4288631858049596,784.1552403507078,973.6482364655965,Concrete
3.419310173674332,783.6261489164718,971.3164275573178,Concrete
3.4097571615437046,783.0973732578492,968.984618649039,Concrete
3.400204149413077,782.5689132125855,966.6528097407603,Concrete
3.3906511372824495,782.0407686184959,964.3210008324816,Concrete
3.381098125151822,781.512939313464,961.9891919242028,Concrete
3.3715451130211944,780.985425135443,959.6573830159241,Concrete
3.361992100890567,780.458225922453,957.3255741076454,Concrete
3.3524390887599393,779.9313415125849,954.9937651993666,Concrete
3.342886076629312,779.4047717439952,952.6619562910879,Concrete
3.3333330644986843,778.8785164549117,950.3301473828092,Concrete
3.3237800523680567,778.3525754836294,947.9983384745304,Concrete
3.314227040237429,777.8269486685125,945.6665295662517,Concrete
3.3046740281068017,777.3016358479917,943.334720657973,Concrete
3.295121015976174,776.77663686057,941.0029117496942,Concrete
3.2855680038455466,776.251951544814,938.6711028414155,Concrete
3.276014991714919,775.7275797393633,936.3392939331368,Concrete
3.2664619795842915,775.2035212829228,934.007485024858,Concrete
3.256908967453664,774.6797760142665,931.6756761165793,Concrete
3.2473559553230364,774.1563437722385,929.3438672083006,Concrete
3.237802943192409,773.6332243957482,927.0120583000219,Concrete
3.2282499310617814,773.1104177237748,924.6802493917431,Concrete
3.218696918931154,772.5879235953666,922.3484404834644,Concrete
3.2091439068005263,772.0657418496401,920.0166315751857,Concrete
3.1995908946698988,771.5438723257773,917.6848226669069,Concrete
3.1900378825392712,771.0223148630322,915.3530137586282,Concrete
3.1804848704086437,770.501069300724,913.0212048503495,Concrete
3.170931858278016,769.9801354782427,910.6893959420707,Concrete
3.1613788461473886,769.4595132350437,908.357587033792,Concrete
3.151825834016761,768.9392024106525,906.0257781255133,Concrete
3.1422728218861335,768.4192028446622,903.6939692172346,Concrete
3.132719809755506,767.8995143767329,901.3621603089558,Concrete
3.1231667976248785,767.3801368465954,899.0303514006771,Concrete
3.113613785494251,766.8610700940455,896.6985424923984,Concrete
3.1040607733636234,766.3423139589487,894.3667335841196,Concrete
3.094507761232996,765.8238682812381,892.0349246758409,Concrete
3.0849547491023683,765.3057329009151,889.7031157675622,Concrete
3.075401736971741,764.787907658049,887.3713068592834,Concrete
3.0658487248411133,764.2703923927766,885.0394979510047,Concrete
3.0562957127104857,763.7531869453028,882.707689042726,Concrete
3.046742700579858,763.2362911559005,880.3758801344472,Concrete
3.0371896884492307,762.7197048649102,878.0440712261685,Concrete
3.027636676318603,762.2034279127404,875.7122623178898,Concrete
3.0180836641879756,761.6874601398679,873.380453409611,Concrete
3.008530652057348,761.1718013868358,871.0486445013323,Concrete
2.9989776399267205,760.6564514942575,868.7168355930536,Concrete
2.989424627796093,760.1414103028121,866.3850266847749,Concrete
2.9798716156654654,759.6266776532461,864.0532177764961,Concrete
2.970318603534838,759.1122533863764,861.7214088682174,Concrete
2.9607655914042104,758.5981373430841,859.3895999599387,Concrete
2.951212579273583,758.0843293643204,857.0577910516599,Concrete
2.9416595671429553,757.5708292911039,854.7259821433812,Concrete
2.9321065550123278,757.0576369645197,852.3941732351025,Concrete
2.9225535428817,756.5447522257215,850.0623643268237,Concrete
2.9130005307510727,756.0321749159301,847.730555418545,Concrete
2.903447518620445,755.5199048764343,845.3987465102663,Concrete
2.8938945064898176,755.0079419485895,843.0669376019875,Concrete
2.88434149435919,754.4962859738206,840.7351286937088,Concrete
2.8747884822285625,753.9849367936164,838.4033197854301,Concrete
2.865235470097935,753.4738942495376,836.0715108771514,Concrete
2.8556824579673075,752.9631581832086,833.7397019688726,Concrete
2.84612944583668,752.4527284363243,831.4078930605939,Concrete
2.8365764337060524,751.9426048506435,829.0760841523152,Concrete
2.827023421575425,751.4327872679969,826.7442752440364,Concrete
2.8174704094447973,750.9232755302778,824.4124663357577,Concrete
2.80791739731417,750.4140694794507,822.080657427479,Concrete
2.7983643851835422,749.9051689575454,819.7488485192002,Concrete
2.7888113730529147,749.3965738066589,817.4170396109215,Concrete
2.779258360922287,748.8882838689565,815.0852307026428,Concrete
2.7697053487916596,748.3802989866697,812.753421794364,Concrete
2.760152336661032,747.8726190020982,810.4216128860853,Concrete
2.7505993245304046,747.3652437576086,808.0898039778066,Concrete
2.741046312399777,746.8581730956341,805.7579950695279,Concrete
2.7314933002691495,746.3514068586766,803.4261861612491,Concrete
2.721940288138522,745.8449448893025,801.0943772529704,Concrete
2.7123872760078944,745.3387870301488,798.7625683446917,Concrete
2.702834263877267,744.832933123916,796.4307594364129,Concrete
2.6932812517466393,744.3273830133743,794.0989505281342,Concrete
2.683728239616012,743.82213654136,791.7671416198555,Concrete
2.6741752274853843,743.3171935507767,789.4353327115767,Concrete
2.6646222153547567,742.8125538845945,787.103523803298,Concrete
2.655069203224129,742.3082173858509,784.7717148950193,Concrete
2.6455161910935017,741.8041838976507,782.4399059867405,Concrete
2.635963178962874,741.3004532631644,780.1080970784618,Concrete
2.6264101668322466,740.7970253256308,777.7762881701831,Concrete
2.616857154701619,740.2938999283548,775.4444792619043,Concrete
2.6073041425709915,739.791076914709,773.1126703536256,Concrete
2.597751130440364,739.2885561281321,770.7808614453469,Concrete
2.5881981183097365,738.7863374121292,768.4490525370682,Concrete
2.578645106179109,738.2844206102743,766.1172436287894,Concrete
2.5690920940484814,737.7828055662056,763.7854347205107,Concrete
2.559539081917854,737.2814921236303,761.453625812232,Concrete
2.5499860697872263,736.78048012632,759.1218169039532,Concrete
2.5404330576565988,736.2797694181154,756.7900079956745,Concrete
2.5308800455259712,735.7793598429223,754.4581990873958,Concrete
2.5213270333953437,735.2792512447148,752.126390179117,Concrete
2.511774021264716,734.7794434675312,749.7945812708383,Concrete
2.5022210091340886,734.2799363554795,747.4627723625596,Concrete
2.492667997003461,733.7807297527314,745.1309634542808,Concrete
2.4831149848728336,733.2818235035271,742.7991545460021,Concrete
2.473561972742206,732.7832174521722,740.4673456377234,Concrete
2.4640089606115785,732.2849114430408,738.1355367294447,Concrete
2.454455948480951,731.7869053205708,735.8037278211659,Concrete
2.4449029363503234,731.2891989292694,733.4719189128872,Concrete
2.435349924219696,730.7917921137074,731.1401100046085,Concrete
2.4257969120890683,730.2946847185248,728.8083010963297,Concrete
2.416243899958441,729.7978765884267,726.476492188051,Concrete
2.4066908878278133,729.3013675681846,724.1446832797723,Concrete
2.3971378756971857,728.8051575026363,721.8128743714935,Concrete
2.387584863566558,728.3092462366869,719.4810654632148,Concrete
2.3780318514359307,727.8136336153069,717.1492565549361,Concrete
2.368478839305303,727.3183194835332,714.8174476466573,Concrete
2.3589258271746756,726.8233036864704,712.4856387383786,Concrete
2.349372815044048,726.3285860692879,710.1538298300999,Concrete
2.3398198029134205,725.8341664772208,707.8220209218211,Concrete
2.330266790782793,725.3400447555731,705.4902120135424,Concrete
2.3207137786521654,724.8462207497123,703.1584031052637,Concrete
2.311160766521538,724.3526943050741,700.826594196985,Concrete
2.3016077543909104,723.8594652671584,698.4947852887062,Concrete
2.292054742260283,723.3665334815339,696.1629763804275,Concrete
2.2825017301296553,722.8738987938328,693.8311674721488,Concrete
2.2729487179990278,722.3815610497553,691.49935856387,Concrete
2.2633957058684,721.8895200950665,689.1675496555913,Concrete
2.2538426937377727,721.3977757755979,686.8357407473126,Concrete
2.244289681607145,720.9063279372483,684.5039318390338,Concrete
2.2347366694765176,720.4151764259807,682.1721229307551,Concrete
2.22518365734589,719.9243210878254,679.8403140224764,Concrete
2.2156306452152625,719.4337617688778,677.5085051141976,Concrete
2.206077633084635,718.943498315301,675.1766962059189,Concrete
2.1965246209540075,718.4535305733203,672.8448872976402,Concrete
2.18697160882338,717.9638583892316,670.5130783893615,Concrete
2.1774185966927524,717.4744816093944,668.1812694810827,Concrete
2.167865584562125,716.9854000802331,665.849460572804,Concrete
2.1583125724314973,716.49661364824,663.5176516645253,Concrete
2.14875956030087,716.0081221599717,661.1858427562465,Concrete
2.1392065481702423,715.519925462052,658.8540338479678,Concrete
2.1296535360396147,715.0320234011695,656.5222249396891,Concrete
2.120100523908987,714.5444158240791,654.1904160314103,Concrete
2.1105475117783596,714.0571025776011,651.8586071231316,Concrete
2.100994499647732,713.5700835086219,649.5267982148529,Concrete
2.0914414875171046,713.0833584640925,647.1949893065741,Concrete
2.081888475386477,712.5969272910321,644.8631803982954,Concrete
2.0723354632558495,712.1107898365228,642.5313714900167,Concrete
2.062782451125222,711.6249459477148,640.199562581738,Concrete
2.0532294389945944,711.1393954718212,637.8677536734592,Concrete
2.043676426863967,710.6541382561234,635.5359447651805,Concrete
2.0341234147333394,710.1691741479672,633.2041358569018,Concrete
2.024570402602712,709.6845029947627,630.872326948623,Concrete
2.0150173904720843,709.2001246439886,628.5405180403443,Concrete
2.0054643783414567,708.7160389431866,626.2087091320656,Concrete
1.995911366210829,708.2322457399648,623.8769002237868,Concrete
1.9863583540802012,707.7487448819968,621.5450913155081,Concrete
1.9768053419495735,707.2655362170207,619.2132824072294,Concrete
1.9672523298189457,706.7826195928426,616.8814734989506,Concrete
1.957699317688318,706.2999948573306,614.5496645906719,Concrete
1.9481463055576902,705.8176618584215,612.2178556823932,Concrete
1.9385932934270624,705.335620444115,609.8860467741144,Concrete
1.9290402812964347,704.8538704624771,607.5542378658357,Concrete
1.919487269165807,704.3724117616389,605.222428957557,Concrete
1.9099342570351792,703.8912441897976,602.8906200492783,Concrete
1.9003812449045514,703.4103675952158,600.5588111409995,Concrete
1.8908282327739236,702.929781826219,598.2270022327208,Concrete
1.8812752206432959,702.449486731201,595.8951933244421,Concrete
1.8717222085126681,701.9694821586198,593.5633844161633,Concrete
1.8621691963820404,701.4897679569967,591.2315755078846,Concrete
1.8526161842514126,701.010343974921,588.8997665996059,Concrete
1.8430631721207849,700.5312100610456,586.5679576913271,Concrete
1.8163147381550273,699.1911769775625,585.8806876973082,Brick
1.7895663041892698,697.8534135247959,585.1934177032892,Brick
1.7628178702235122,696.5179163885297,584.5061477092703,Brick
1.7360694362577547,695.18468225854,583.8188777152513,Brick
1.7093210022919971,693.8537078285977,583.1316077212324,Brick
1.6825725683262396,692.5249897964608,582.4443377272135,Brick
1.655824134360482,691.1985248638714,581.7570677331945,Brick
1.6290757003947245,689.8743097365546,581.0697977391756,Brick
1.602327266428967,688.5523411242115,580.3825277451566,Brick
1.5755788324632094,687.2326157405166,579.6952577511377,Brick
1.5488303984974519,685.9151303031174,579.0079877571187,Brick
1.5220819645316943,684.5998815336239,578.3207177630998,Brick
1.4953335305659368,683.2868661576123,577.6334477690808,Brick
1.4685850966001792,681.9760809046163,576.9461777750619,Brick
1.4418366626344217,680.6675225081259,576.2589077810429,Brick
